word,weight
berbayar,-3
berbecak-becak,-3
berbeda,-4
berbelit-belit,-4
berbenak,3
berbentuk,3
berbenturan,-4
berbetulan,3
berbiak,-3
berbicara,-3
berbisa,-5
berbobot,2
berbohong,-4
berbondong-bondong,-3
berbuah,2
berbudi pekerti yang baik,3
berbunga,3
berburu,-3
berburuk,-4
berbusana,4
bercahaya,4
bercak,-5
bercakar-cakaran,-4
bercanda,-4
bercaran,-4
bercat,-3
bercedera,-4
bercekak,-3
bercekcok,-4
bercekit,-4
bercelah,-3
berceloteh,-4
bercempera,-5
bercengkerama,-2
bercerai-berai,-5
bercermin,4
bercikun-cikun,-5
bercintaan,-3
bercita rasa,3
bercokol,-1
bercorak,-3
bercucuran,-5
bercumbu,-4
bercumbu-cumbu,-3
bercumbuan,-3
bercura,-4
berdagang,3
berdakwa,-4
berdalih,-4
berdampingan,-3
berdandan,4
berdansa,-1
berdarah,4
berdarah dingin,-4
berdasarkan,-4
berdaulat,-3
berdaya,3
berdaya guna,4
berdebat,-5
berdedikasi,-3
berdekatan,-4
berdekus,-3
berdendang,4
berdengung,-3
berdengus,-3
berdenyut,-1
berderajat,4
berderum,-4
berdesakan,-3
berdesir,-2
berdiam,1
berdikit-dikit,-3
berdisiplin,4
berdoa,1
berdompol,-4
berdosa,-4
berdua,1
berduaan,-3
berduit,4
berduka,-5
berdusta,-4
berduyun-duyun,-3
beredak,-5
beredar,2
beregu,-3
berembuk,3
berengsaan,-4
berengsek,-5
berenti,-3
berfaedah,4
bergabung,-4
bergadang,-4
bergaduh,-5
bergajul,-5
bergamat,4
bergamit,-3
berganda,-3
berganduh,-3
berganggang,-3
bergantung,4
bergas,3
bergaul,-3
bergaung,-3
bergejolak,-3
bergelanggang,-1
bergelegak,-3
bergelut,-4
bergema,-3
bergemam,-3
bergembung,-3
bergeming,1
bergemuruh,-3
bergengsi,4
bergerombol,-4
bergerombolan berkawanan,-4
bergesek,-3
bergesel,-3
bergeser,-4
bergetar,-2
bergigi,3
bergolak,-5
bergolongan,4
bergontok,-4
bergosok,-3
bergosokan,-3
bergoyah,-4
berguam,-4
berguguran,-3
bergulat,-4
bergulir,-3
bergumam,-3
bergumul,-4
berguna,5
berguncang,-5
bergundang,-5
bergurau,-4
bergurau senda,-4
berguru,3
berguyub,-3
berhajat,2
berhala,-4
berhamburan,-5
berhandai-handai,-3
berhantaran,-5
berhanyut,-4
berharap,1
berharga,3
berharta,4
berhasil,3
berhasrat,3
berhati walang,-3
berhati-hati,1
berhelat,-4
berhenti (tugas),-2
berhikmah,2
berhimpun,-4
berhujah,-4
beri (uang),-2
beri uang,-2
beribadat,1
berikhtiar,3
beriktikad,2
berilmu,4
beriman,3
berimbas,3
berimbuh,1
beringas,-4
beringat,-3
beringsut,-3
berirama,4
beristirahat,1
berita,-4
berjaga-jaga,1
berjarak,-4
berjasa,4
berjatuhan,-2
berjauh hati,-3
berjaya,4
berjejak,-3
berjejal,-3
berjejal-jejal,-3
berjejas,-5
berjenis-jenis,3
berjilbab,3
berjiwa,3
berjubal,-3
berjunjungan,4
berkabung,-5
berkabut,-3
berkaca,4
berkah,4
berkait,3
berkaitan,3
berkalang tanah,-2
berkandung,5
berkarat,-4
berkarut,-5
berkarya,3
berkasih-kasihan,-3
berkat,1
berkategori,4
berkawal,4
berkawan,-3
berkawanan,-4
berkeberatan,-4
berkecai,-5
berkecambah,3
berkecamuk,-4
berkecandan,-4
berkecenderungan,-3
berkecukupan,4
berkedudukan,4
berkegiatan,4
berkeinginan,3
berkejaran,-3
berkekuatan,5
berkelakar,-4
berkelir,-3
berkelok-kelok,-2
berkelompok-kelompok,-4
berkeluarga,-2
berkemal,-4
berkemam,-3
berkemandang,-3
berkemas-kemas,-2
berkembang biak,-3
berkemih,-3
berkenaan,4
berkenalan,-3
berkenan,2
berkepercayaan,4
berkeping-keping,-5
berkerak,-2
berkeras hati,1
berkeras-kerasan,-4
berkerubung,-4
berkerumun,-4
berkerut,-2
berkesesuaian,3
berketar-ketar,-3
berketurunan,2
berkeyakinan,3
berkhasiat,4
berkhianat,-5
berkilah,-4
berkinte,3
berkisar,-3
berkobar-kobar,2
berkolusi,-5
berkomplot,-4
berkongkalikong,-4
berkonspirasi,-4
berkorban,-3
berkualitas,4
berkuasa,4
berkuat,-1
berkukuh,2
berkuliah,-4
berkumandang,-3
berkunjung,-4
berkupak,-3
berkurang,-3
berkurangan,-3
berkurap,-4
berlaba,4
berlabuh,-1
berlaga,-4
berlagak,4
berlagu,4
berlainan,-4
berlalu,-5
berlalu dr dunia,-5
berlama-lama,-2
berlandaskan,-4
berlangau,-4
berlangganan,2
berlanggaran,-4
berlanglang,4
berlara-lara,-4
berlarasan,3
berlarat-larat,-4
berlarian,-5
berlatih,4
berlawanan,-4
berlebih,-2
berlebih-lebih,-4
berlelehan,-3
berlengkesa,-3
berlepasan,-3
berlevel,4
berlezat,2
berlibat,3
berlibat-libat,-4
berlik,-4
berliku-liku,-4
berlilit,3
berlimpah,1
berlinang,-3
berlipat,-3
berlipat ganda,-3
berlompatan,-5
berlubang,-3
berluruhan,-3
berlutut,-2
bermacam-macam,3
bermain-main,-2
bermakna,4
bermanfaat,5
bermartabat,4
bermaslahat,2
bermesraan,-3
bermetamorfosis,-3
bermohon,1
bermohon diri,2
bermoral,-4
bermotif,-3
bermukah,-4
bermukim,-2
bermula,-4
bermuram durja,-5
bermusuhan,-4
bermutu,2
bernafsu,3
bernama,4
bernapaskan,3
bernas,-1
bernilai,2
bernoda,-4
bernuansa,-3
bernyali,2
bernyali besar,2
bernyanyi,2
berogak-ogak,-4
beroleh,3
berolok-olok,-4
berombongan,-4
beromong kosong,-4
berona,-3
berongga,-3
beroperasi,-3
berotak tajam,4
berpacangan,3
berpada-pada,-3
berpadu,-3
berpakaian,4
berpalit-palit,-4
berpamor,3
berpandangan,1
berpangku tangan,-4
berparade,1
berparak,-4
berpartai,-3
berpartisipasi,3
berpasangan,-3
berpasrah,1
berpasuk,-3
berpatokan,4
berpatroli,4
berpaut,3
berpedoman,4
berpegang,4
berpelajaran,4
berpembawaan,1
berpencar,-5
berpencaran,-3
berpendidikan,3
berpengalaman,3
berpengaruh,1
berpengetahuan,4
berperai-perai,-5
berperan serta,2
berperang,-1
berperang hati,-4
berperang mulut,-3
berperingkat,4
berpijar,-3
berpilin,3
berpiuh,3
berpola,4
berpoleng,-3
berprakarsa,3
berprasangka,-2
berproses,-2
berpuak-puak,-4
berpuaka,-3
berpucuk,-4
berpulas,3
berpunya,4
berpura-pura,-4
berpusu,-3
berputar-putar,-4
berputih tulang,-2
berputra,3
bersaba,-3
bersabung nyawa,-3
bersagang,4
bersahabat,2
bersahaja,5
bersaji,4
bersalah,-4
bersalahan,-4
bersalin,3
bersama,3
bersamamu,3
bersambang,4
bersandarkan,-4
bersanding,-5
bersangga,4
bersanggama,3
bersanggit,-5
bersangkal,-5
bersangkut,-3
bersara,-3
bersatu,-1
bersauh,4
bersaur,3
bersayap,4
bersebaran,-5
bersebelahan,-4
berseberangan,-3
bersedia,-2
bersedih,-5
bersekolah,3
bersekongkol,-4
bersekutu,-5
berselang,-3
berselingkuh,-5
berselisih,-5
berseloroh,-4
berseluk,3
bersemangat,3
bersemayam,1
bersembahyang,2
bersemi,3
bersempena,-3
bersempuras,-3
bersenandung,4
bersenda gurau,-4
bersendel,4
bersendeng,4
bersender,4
bersendi,-4
bersendikan,-4
bersengaja,-2
bersengat,5
bersengketa,-4
berseni,4
bersentuh,-5
bersepai,-5
berserah,-2
berserakan,-5
berseri,4
berserikat,-3
bersesak-sesak,-3
bersesal,-3
bersesuaian,3
berseteru,-4
bersetuju,3
bersiap,1
bersikukuh,-3
bersila,-2
bersilih,-3
bersimbah,-3
bersimpati,4
bersinar,4
bersinggungan,-3
bersipongang,-3
bersisalak,-4
bersiteguh,-3
bersokom,-4
berstatus,4
bersuka-suka,-3
bersuka-sukaan,-3
bersulur,3
bersumber,4
bersungguh-sungguh,3
bersungkawa,-3
bersurai,-3
bersusah,-5
bersusah hati,-5
bersusila,-4
bersyukur,5
bertabrakan,-4
bertaburan,-5
bertaki,-3
bertakwa,4
bertala-tala,-3
bertalun-talun,-3
bertambah,-5
bertambatan,3
bertambun,-3
bertamu,-4
bertandang,-4
bertanding,-2
bertanduk,1
bertangkap,-3
bertanya,2
bertanya-tanya,1
bertapa,-3
bertapakkan,-4
bertara,-3
bertaraf,3
bertarak,-3
bertaruk,3
bertasyakur,-4
bertautan,-4
bertebaran,-5
berteduh,1
berteguh hati,4
bertekak,-4
bertekan,1
bertekuk lutut,-3
bertekun,4
bertelanjang,-3
bertele-tele,-3
bertelimpuh,-3
bertelinga lembut,-3
bertelinga merah,1
bertelingkah,-4
berteman,-3
bertemperasan,-3
bertempiar,-3
bertemu,2
bertemu roma,-4
bertenaga,5
bertendensi,-3
bertenggang,3
bertengkar,-5
bertengkar mulut,-5
bertengkaran,-4
bertengking,-4
bertentangan,-4
bertepat guna,4
bertepatan,3
berteraskan,-4
berterima,-3
bertetesan,-3
bertian,-3
bertikai,-5
bertikai pangkai,-4
bertimbal,-3
bertimbang,-3
bertimpa-timpa,-3
bertindak,-4
bertindik,-3
bertingkat,-3
bertingkuh,-4
bertinju,-4
bertitikan,-3
bertokok,-3
bertolak,-2
bertonggakkan,-4
bertransaksi,3
bertransformasi,-3
bertuah,-3
bertubrukan,-4
bertudung lingkup,-5
bertukar akal,-3
bertumbangan,-3
bertumbuk,-4
bertumbukan,-4
bertunangan,-1
bertunas,1
bertundangan,3
bertunjangkan,-4
bertuntun,1
berubah akal,-2
berubah ingatan,-3
berugi,-5
berulah,-4
berumah tangga,-2
berumpun,-3
berumur,-2
beruntun,-3
beruntung,4
beruntutan,3
berupaya,3
berurine,-3
berus,-4
berusuh,-5
berwarna,-3
berwibawa,3
berwujud,2
berziarah,-4
berzikir,1
berzina,-4
besar,2
besar akal,4
besar hati,3
besar lengan,1
besar perut,-3
besar rabu,-3
besar-besaran,3
besi tua,-4
besit,-2
besot,-3
bestari,4
beta,-3
betapa,4
betas,-3
bete,-5
beterbangan,-1
beterjunan,-5
betina,-2
beton,-2
better,1
betul,-2
betung,-3
beud,-2
bhay,-3
biadab,-2
biak,-3
biang keladi,-1
bianglala,4
biar,-2
biarawati,-3
biarin,-3
biarkan,-2
biarpun,-3
bias,-2
biasa,-2
biasin,-3
bicu,-3
bidah,-3
bidai,-4
bidas,-5
bidasan,3
bidik,-2
biduanda,5
bijak,-1
bijaksana,-3
biji buah,-3
biji mata,-3
bikinan,3
biksah,-5
bilas,1
bilhak,3
bilik,-3
bimbang,-5
bimbingan,-3
binasa,-2
bincang,2
bineka,3
binen,3
bingit,-5
bingkis,4
bingkisan,4
bini gelap,-5
bir,-5
birah,-3
birokrat,-3
birthday,4
bisain,-2
bisik,-2
bisikan,2
bismillah,4
bisnis,3
bison,-3
bisu,-2
bisul,-4
biut,-5
blangko,-3
blaster,-3
blobor,-3
block,-4
blokir,-3
bloon,-3
blur,-4
bobol,-4
bobot,-3
bobrok,-5
bobroq,-4
bocor,-4
bodo,-5
bodoamat,-4
bogem,-5
bogem mentah,-5
bogum,-3
bohong,-5
bokek,-5
bokep,-5
boker,-3
boksen,-5
boleh,2
boleh juga,-3
bolehan,4
bolong,-3
bolos,-3
bolsak,-4
bombastis,-1
bonafide,3
bondong,-4
bondot,-5
bongak,-5
bonggol,-4
bongkah,-2
bongkak,-3
bongkar,-3
bongkar-bangkir,-5
bongkong,-3
bongok,-3
bongsor,-2
bonus,1
bonyok,5
booking,2
boong,-4
bopong,-2
borak,-4
boro,-2
borok,-5
borong,1
boros,-5
bos,3
bosen,-4
bosman,-4
bosun,-4
bot,-2
boyak,-5
brengsek,-5
brokat,-4
broker,-3
bromocorah,-5
brutal,-5
bruto,-3
buah,-1
buah bibir,-2
buah dada,-3
buah hati,-3
buah simalakama,-3
buaian,3
bual,-4
bualan,-4
buang,-3
buang air,-5
buang air besar,-5
buang air kecil,-3
buang hajat,-5
buang nyawa,-5
buang-buang air,-5
buangan,-4
buari,-4
buas,-5
buat,1
buatan,3
bubuh,4
bubuk,-5
bucu,-3
budak,4
budek,-3
budi pekerti yang baik,3
budiman,4
bufer,-3
bugar,4
buhuk,-4
bujang,4
bujukan,-3
bukan,-3
bukan main,4
bukannya,-3
bukat,-4
bukti,-3
bulan,-1
bulan-bulanan,-4
bulang,3
bulat,-3
bulat kata,3
buletin,-3
bulevar,-4
bully,-5
bulsak,-4
buluh,-3
bulus,-5
bumbu,5
bumbung,3
buncah,-5
buncit,-3
bunda,-2
bundak,-3
bundel,-5
